App Version,Crit . Non Crit .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build Hash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build Number ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parametric Version,Crit . Non Crit .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI Version,01 00 01 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI Bootloader Version ,00 01 00 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC Bootloader Version ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,.SS,MachineStatus,Personality,EnterConsumerErrorMode,ServiceModeState,WiFiCommissioningOption,WiFiCommissioningPresenterState,ServiceModeState,WiFiCommissioningOption,Rj45LockedAtLeastOnce,CommercialLaundryStatus,CommercialLaundryStatusExternal,RJ45WriteAccessActual,WriteAccessRequest,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,FF01,FF8F,37,F173,F17F,37,F173,FFF2,209F,209E,20CE,20CD,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12/15/2021,11:47:47:.775,.775,PAUSE,1,00,00,00,NOT CONNECTED,00,00,UNLOCKED,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,UNLOCKED,REQUESTED
12/15/2021,11:47:48:.000,.000,PAUSE,1,00,00,00,NOT CONNECTED,00,00,UNLOCKED,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,UNLOCKED,REQUESTED
12/15/2021,11:47:48:.318,.318,PAUSE,1,00,00,00,NOT CONNECTED,00,00,UNLOCKED,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,UNLOCKED,REQUESTED
12/15/2021,11:47:48:.599,.599,PAUSE,1,00,00,00,NOT CONNECTED,00,00,UNLOCKED,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,UNLOCKED,REQUESTED
12/15/2021,11:47:48:.899,.899,PAUSE,1,00,00,00,NOT CONNECTED,00,00,UNLOCKED,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,UNLOCKED,REQUESTED
12/15/2021,11:47:49:.220,.220,PAUSE,1,00,00,00,NOT CONNECTED,00,00,UNLOCKED,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,UNLOCKED,REQUESTED
12/15/2021,11:47:49:.496,.496,PAUSE,1,00,00,00,NOT CONNECTED,00,00,UNLOCKED,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,UNLOCKED,REQUESTED
12/15/2021,11:47:49:.820,.820,PAUSE,1,00,00,00,NOT CONNECTED,00,00,UNLOCKED,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,UNLOCKED,REQUESTED
12/15/2021,11:47:50:.114,.114,PAUSE,1,00,00,00,NOT CONNECTED,00,00,UNLOCKED,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,UNLOCKED,REQUESTED
12/15/2021,11:47:50:.387,.387,PAUSE,1,00,00,00,NOT CONNECTED,00,00,UNLOCKED,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,UNLOCKED,REQUESTED
