App Version,Crit . Non Crit .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build Hash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build Number ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parametric Version,Crit . Non Crit .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI Version,01 00 03 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI Bootloader Version ,00 01 01 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC Bootloader Version ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,.SS,MachineStatus,Personality,EnterConsumerErrorMode,ServiceModeState,WiFiCommissioningOption,WiFiCommissioningPresenterState,ServiceModeState,WiFiCommissioningOption,Rj45LockedAtLeastOnce,CommercialLaundryStatus,CommercialLaundryStatusExternal,RJ45WriteAccessActual,WriteAccessRequest,CommercialPaymentMethod,CommercialCoinPaymentStatusRequest,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,FF01,FF8F,37,F173,F17F,37,F173,FFF2,209F,209E,20CE,20CD,F218,F219,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/23/2022,13:30:21:.920,.920,STANDBY,2,00,00,00,NOT CONNECTED,00,00,LOCKED,FF FF FF FF 00 01 00 03 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 09 00 FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,LOCKED,REQUESTED,NotDefined,00
11/23/2022,13:30:22:.095,.095,STANDBY,2,00,00,00,NOT CONNECTED,00,00,LOCKED,FF FF FF FF 00 01 00 03 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 09 00 FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,LOCKED,REQUESTED,NotDefined,00
11/23/2022,13:30:22:.197,.197,STANDBY,2,00,00,00,NOT CONNECTED,00,00,LOCKED,FF FF FF FF 00 01 00 03 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 09 00 FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,LOCKED,REQUESTED,NotDefined,00
11/23/2022,13:30:22:.294,.294,STANDBY,2,00,00,00,NOT CONNECTED,00,00,LOCKED,FF FF FF FF 00 01 00 03 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 09 00 FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,LOCKED,REQUESTED,NotDefined,00
11/23/2022,13:30:22:.390,.390,STANDBY,2,00,00,00,NOT CONNECTED,00,00,LOCKED,FF FF FF FF 00 01 00 03 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 09 00 FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,LOCKED,REQUESTED,NotDefined,00
11/23/2022,13:30:22:.487,.487,STANDBY,2,00,00,00,NOT CONNECTED,00,00,LOCKED,FF FF FF FF 00 01 00 03 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 09 00 FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,LOCKED,REQUESTED,NotDefined,00
11/23/2022,13:30:22:.582,.582,STANDBY,2,00,00,00,NOT CONNECTED,00,00,LOCKED,FF FF FF FF 00 01 00 03 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 09 00 FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,LOCKED,REQUESTED,NotDefined,00
11/23/2022,13:30:22:.690,.690,STANDBY,2,00,00,00,NOT CONNECTED,00,00,LOCKED,FF FF FF FF 00 01 00 03 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 09 00 FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,LOCKED,REQUESTED,NotDefined,00
11/23/2022,13:30:22:.795,.795,STANDBY,2,00,00,00,NOT CONNECTED,00,00,LOCKED,FF FF FF FF 00 01 00 03 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 09 00 FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,LOCKED,REQUESTED,NotDefined,00
11/23/2022,13:30:22:.893,.893,STANDBY,2,00,00,00,NOT CONNECTED,00,00,LOCKED,FF FF FF FF 00 01 00 03 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 09 00 FF FF,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,LOCKED,REQUESTED,NotDefined,00
